Corner,vsup,temperature,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,l55lp_v0101.lib.scs,Pass/Fail,"VDC(""/net13"")"
C0_171,2,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6137
C0_172,2,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5909
C0_173,2,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5681
C0_174,2,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5451
C0_175,2,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_176,2,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_177,2,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_178,2,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4529
C0_179,2,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_180,2,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4064
C0_181,2,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3831
C0_182,2,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3597
C0_183,2,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3363
C0_184,2,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3128
C0_185,2,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2892
C0_186,2,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.2656
C0_187,2.2,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6249
C0_188,2.2,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.6135
C0_189,2.2,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5909
C0_190,2.2,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.568
C0_191,2.2,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5452
C0_192,2.2,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.5222
C0_193,2.2,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4992
C0_194,2.2,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4761
C0_195,2.2,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4529
C0_196,2.2,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4298
C0_197,2.2,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4065
C0_198,2.2,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3982
C0_199,2.2,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.3992
C0_200,2.2,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4026
C0_201,2.2,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4083
C0_202,2.2,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4161
C0_203,2.2,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.4257
C0_204,2.4,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.9671
C0_205,2.4,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,0.9846
C0_206,2.4,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.021
C0_207,2.4,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.057
C0_208,2.4,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.094
C0_209,2.4,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.13
C0_210,2.4,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.167
C0_211,2.4,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.202
C0_212,2.4,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.235
C0_213,2.4,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.265
C0_214,2.4,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.294
C0_215,2.4,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.318
C0_216,2.4,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.34
C0_217,2.4,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.358
C0_218,2.4,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.373
C0_219,2.4,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.386
C0_220,2.4,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.396
C0_221,2.6,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.883
C0_222,2.6,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.883
C0_223,2.6,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.884
C0_224,2.6,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.883
C0_225,2.6,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.881
C0_226,2.6,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.878
C0_227,2.6,0,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.874
C0_228,2.6,10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.868
C0_229,2.6,20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.863
C0_230,2.6,30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.856
C0_231,2.6,40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.849
C0_232,2.6,50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.842
C0_233,2.6,60,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.834
C0_234,2.6,70,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.826
C0_235,2.6,80,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.817
C0_236,2.6,90,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.808
C0_237,2.6,100,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,1.799
C0_238,2.8,-55,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.134
C0_239,2.8,-50,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.129
C0_240,2.8,-40,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.119
C0_241,2.8,-30,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.108
C0_242,2.8,-20,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.097
C0_243,2.8,-10,tt_lp_io25,ff_lp_rvt12,ff_lp_bjt,,2.086
